Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2015-01-07,19.1,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-07,19.33,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-07,19.52,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-07,19.8,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-07,19.95,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-07,20.16,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-08,17.7,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-08,17.75,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-08,18.0,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-08,18.25,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-08,18.5,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-08,18.75,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-08,19.15,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-08,19.25,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-08,19.55,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-09,18.65,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-09,18.65,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-09,18.75,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-09,19.1,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-09,19.25,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-09,19.4,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-09,19.7,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-09,19.9,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-09,20.05,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-12,19.6,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-12,19.4,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-12,19.3,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-12,19.45,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-12,19.6,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-12,19.7,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-12,19.95,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-12,20.1,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-12,20.33,CFE_VX_U5,2015,VX/U5,VX/U5_2015
